actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
2895,28.302395,434250,0.99750495,0.89208984,0.39594328,-13.008072,9911,1486650,6552,4786.702362537384,-112.37356,-0.39566553,2.3201833,101.17392077816741
2902,28.725758,435300,0.99755406,0.8882446,0.39010417,-14.66734,9927,1489050,6566,4797.163273334503,-109.71465,-0.35746408,2.4295893,75.24427501457595
2907,31.006517,436050,0.9975369,0.885437,0.41539687,-17.588211,9947,1492050,6580,4807.180255174637,-113.06769,-0.38878155,2.3069923,100.46891376908526
2914,30.960308,437100,0.9974873,0.8773804,0.4284474,-15.383216,9964,1494600,6594,4817.8088228702545,-112.013214,-0.39381975,2.440052,61.597645646913584
2919,27.883217,437850,0.99747896,0.87194824,0.45503587,-15.773588,9978,1496700,6608,4827.832837104797,-105.201004,-0.42409796,2.3586264,100.87811594791107
2926,29.077616,438900,0.9974978,0.8826904,0.43478608,-16.515823,10000,1500000,6622,4838.323659181595,-112.94197,-0.39607155,2.60148,60.637932510582566
2931,29.643692,439650,0.9975078,0.89160156,0.3930605,-15.923838,10014,1502100,6636,4848.383486747742,-111.35462,-0.3787284,2.2999716,99.93810761435985
2938,30.33569,440700,0.9974446,0.8629761,0.49602067,-13.66691,10035,1505250,6650,4858.794226884842,-111.10736,-0.44245052,2.3026938,62.37589058055593
2943,27.753597,441450,0.9974613,0.87145996,0.4366818,-12.852781,10051,1507650,6664,4868.836363554001,-101.92235,-0.42623734,2.3355093,100.13490911830996
2950,27.544035,442500,0.9974389,0.87323,0.43320268,-14.153123,10071,1510650,6678,4879.230047464371,-105.60691,-0.38598013,2.5186586,61.94840683927158
2955,28.848967,443250,0.99745107,0.86639404,0.48288956,-14.7215395,10086,1512900,6692,4889.242730855942,-105.36977,-0.44348562,2.396665,101.76837332383015
2960,26.386494,444000,0.9974239,0.87384033,0.46905404,-14.097114,10108,1516200,6706,4899.271272420883,-102.39766,-0.4648546,2.4320624,102.08577190646619
2967,27.51458,445050,0.9975276,0.8865967,0.42601758,-11.656616,10127,1519050,6720,4909.655880689621,-105.903305,-0.40037704,2.242978,103.18674064071118
2974,29.68636,446100,0.9975505,0.8936157,0.39813948,-16.192913,10146,1521900,6735,4920.643200159073,-111.5773,-0.34945667,2.4564204,61.927284270517276
2980,29.210375,447000,0.9975176,0.8826904,0.4134762,-15.391245,10166,1524900,6750,4931.446112155914,-108.882324,-0.40832525,2.1212614,74.07531393684782
2986,26.789673,447900,0.99742556,0.87506104,0.4644216,-14.918369,10184,1527600,6764,4941.680921316147,-105.185,-0.4233641,2.273029,95.17732270778464
2992,26.40908,448800,0.9975159,0.8810425,0.41968685,-13.852526,10203,1530450,6778,4951.941405057907,-105.28118,-0.38004798,2.1770422,75.10972041553357
2999,28.708197,449850,0.99753165,0.88067627,0.41737014,-13.784529,10222,1533300,6792,4962.459796905518,-108.75351,-0.34515485,2.307082,60.0554961195045
3004,27.232357,450600,0.99743414,0.8679199,0.4938724,-12.959319,10238,1535700,6806,4972.485556602478,-100.70797,-0.48176944,2.2578983,98.40362886936555
3011,27.596691,451650,0.997478,0.88238525,0.41739434,-17.561777,10258,1538700,6820,4982.883070707321,-106.83256,-0.4011628,2.3557906,53.037865298454676
3015,29.599346,452250,0.99751663,0.871521,0.46360084,-14.395223,10273,1540950,6834,4992.918646097183,-106.12681,-0.4510738,2.3835402,74.01812266966083
3023,27.042122,453450,0.9975457,0.88012695,0.43967193,-14.84635,10292,1543800,6848,5003.31035900116,-103.82454,-0.39654517,2.2805269,61.44602871650157
3027,27.895193,454050,0.9974749,0.8782959,0.44225842,-15.114171,10309,1546350,6862,5013.345049858093,-102.42746,-0.4453399,2.2912378,75.51071469158904
3033,28.375706,454950,0.99751735,0.88464355,0.40087605,-15.647551,10326,1548900,6876,5023.573290586472,-107.44998,-0.35925713,2.0931406,76.3814367544795
3040,26.689018,456000,0.9974005,0.8720093,0.4648694,-15.520194,10347,1552050,6891,5034.385543584824,-102.375244,-0.44776434,2.3648267,76.61098149278642
3047,27.9111,457050,0.99747133,0.87158203,0.43622422,-15.499425,10366,1554900,6905,5044.820638179779,-106.366356,-0.4088226,2.2437756,75.45258007274984
3053,27.12924,457950,0.99753284,0.8779907,0.43752888,-15.084045,10385,1557750,6920,5055.775450229645,-104.13674,-0.41777334,2.6615572,59.94335520545082
3059,26.917267,458850,0.9974773,0.86242676,0.48751557,-16.976646,10400,1560000,6934,5066.069806814194,-102.005196,-0.46258563,2.248964,96.14354010776397
3064,26.723722,459600,0.9974704,0.87054443,0.4559657,-15.689301,10420,1563000,6949,5076.890344619751,-102.726845,-0.43014458,2.9302883,75.36435029574635
3071,26.232443,460650,0.99753094,0.8723755,0.46326327,-14.853275,10437,1565550,6963,5087.089206457138,-98.62169,-0.44709226,2.4885726,100.77060409703783
3076,28.414436,461400,0.99755406,0.88690186,0.40754777,-14.769485,10456,1568400,6977,5097.287127494812,-107.37854,-0.3892408,2.2700355,74.37696214673878
3083,29.108719,462450,0.9974663,0.87298584,0.43815777,-13.77995,10470,1570500,6991,5107.5593638420105,-103.48329,-0.4274786,2.439381,100.35990799812168
3089,27.739647,463350,0.99748564,0.8753052,0.4461737,-15.530788,10492,1573800,7005,5117.9473605155945,-104.45209,-0.40942696,2.4805017,76.5284658839025
3095,25.864843,464250,0.9974475,0.859375,0.52696925,-17.401966,10507,1576050,7019,5128.178726434708,-98.78676,-0.4584461,2.1047657,100.40063538774623
3100,27.844576,465000,0.9974723,0.8668823,0.48444438,-15.27347,10525,1578750,7033,5138.425314903259,-102.75499,-0.46994364,2.5776582,76.93184950518204
3107,27.401127,466050,0.9975271,0.8777466,0.43636438,-15.118988,10541,1581150,7047,5148.703039884567,-103.56343,-0.40938127,2.1783884,97.22459573275171
3112,26.521372,466800,0.9974494,0.85668945,0.5128019,-13.230938,10560,1584000,7061,5158.747851610184,-96.38187,-0.46818423,2.3038635,95.30654403901514
3118,26.171001,467700,0.99747276,0.86450195,0.523129,-15.299808,10576,1586400,7075,5169.227773666382,-95.03049,-0.50414574,2.3622851,75.26872798351036
3124,26.724493,468600,0.997478,0.873291,0.45917934,-14.572038,10592,1588800,7089,5179.231857061386,-97.5403,-0.40149432,2.4368196,101.26174022702419
3131,28.75145,469650,0.99747753,0.8721924,0.43997684,-14.349657,10607,1591050,7103,5189.669766664505,-103.139,-0.4136085,2.2479796,98.48453494400074
3136,26.367306,470400,0.99747086,0.8774414,0.43957794,-14.206313,10626,1593900,7117,5199.679992198944,-97.56143,-0.40397063,2.4169574,101.32649054643775
3143,27.775745,471450,0.9975641,0.8823242,0.44077206,-13.906254,10644,1596600,7131,5210.032196998596,-102.472595,-0.42387152,2.347888,96.21497694407257
3148,25.697567,472200,0.9974041,0.8496094,0.55478984,-15.033882,10662,1599300,7145,5220.122772216797,-95.16962,-0.53704584,2.4938023,101.55142669609907
3155,28.05197,473250,0.997524,0.8703003,0.46552247,-14.404342,10681,1602150,7159,5230.596723794937,-98.67554,-0.46153545,2.39918,94.01541873363529
3160,25.556576,474000,0.9974468,0.8691406,0.47933164,-13.290276,10700,1605000,7173,5240.630255699158,-95.70802,-0.4383627,2.4185886,100.72231927909755
3167,26.432207,475050,0.99750257,0.8709717,0.4714223,-13.163086,10719,1607850,7187,5251.021226167679,-94.51146,-0.4557342,2.2563329,96.14236933134006
3172,27.302889,475800,0.9974661,0.8676758,0.4662575,-13.3883505,10736,1610400,7201,5261.059499502182,-98.41155,-0.43462086,2.2503254,100.72723261089976
