actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
227712,615.13983,2396680,0.9978211,0.97558594,0.090502016,-5.662801,382715,4268990,36705,41590.12905192375,-1979.8695,-0.07667796,1.7688445,91.22653784262782
227803,603.74133,2397590,0.99779177,0.9713745,0.09713222,-3.561276,382851,4270350,36720,41600.70026731491,-1974.1177,-0.08725922,1.8577363,88.36488163994619
227906,595.22864,2398620,0.99777937,0.96881104,0.09941391,-1.5197731,383019,4272030,36735,41611.23231506348,-1949.7437,-0.08905609,1.8017728,93.97500119028615
227995,601.70325,2399510,0.99784255,0.9744873,0.09201922,-3.9566731,383152,4273360,36750,41621.78471207619,-2014.8749,-0.07397288,1.866076,90.86078067669479
228097,594.3894,2400530,0.99779296,0.96917725,0.09888697,-4.743757,383303,4274870,36765,41632.302715063095,-1959.9047,-0.08278492,1.8194038,94.51456807371726
228187,614.00946,2401430,0.99779606,0.9707031,0.10303423,-4.3977156,383453,4276370,36780,41642.88900947571,-1987.2278,-0.078107044,2.2886903,90.62204491815554
228289,597.66425,2402450,0.9977889,0.97528076,0.08601379,-0.1310904,383617,4278010,36795,41653.46395564079,-1951.7566,-0.07861929,1.1013291,89.01879228994804
228381,609.3925,2403370,0.997792,0.9710083,0.09779659,-3.2618024,383755,4279390,36810,41664.06442666054,-2007.2385,-0.08878957,1.647166,90.73688494500732
228482,619.1899,2404380,0.99780726,0.9714966,0.09658988,-2.3171546,383921,4281050,36825,41674.647723436356,-1989.2529,-0.0684282,1.6741511,87.36242187156752
228573,598.2581,2405290,0.9978039,0.9750366,0.094679125,-2.9332752,384057,4282410,36840,41685.11351752281,-1956.9751,-0.07834954,1.7390041,92.4451105613198
228663,618.21716,2406190,0.99774766,0.97088623,0.108430356,-2.465352,384199,4283830,36854,41695.11542248726,-2035.1487,-0.08686386,2.493617,70.78561016309129
228763,619.6234,2407190,0.9977648,0.96502686,0.10820185,-4.865795,384368,4285520,36869,41705.677817583084,-1987.579,-0.08387837,2.0522442,91.14881780250347
228854,608.0705,2408100,0.99781156,0.9720459,0.101357885,-1.8828287,384498,4286820,36884,41716.22573208809,-1966.6603,-0.08369627,1.864497,93.62491433091617
214811,524.733,2267670,0.99788,0.9834595,0.064327456,-15.491295,356678,4008620,34689,41763.533590078354,-1407.203,-0.062044036,1.5105457,78.27391376485411
214888,524.5333,2268440,0.99789906,0.9840698,0.060467906,-17.75054,356807,4009910,34701,41773.662121772766,-1420.0701,-0.046327047,1.2602847,77.04713548229327
214964,534.5082,2269200,0.99786735,0.97961426,0.071195,-17.459362,356923,4011070,34713,41783.727967739105,-1448.5582,-0.060548697,1.5182441,80.27899426457826
215047,531.1287,2270030,0.9978821,0.9828491,0.07206792,-14.581306,357036,4012200,34725,41793.78363394737,-1414.5015,-0.042464368,1.9802483,79.04694927617105
