actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
123,18450,0.17791939,150,0.0,98,14700,0.48446774,0.66238713,0.31584033,157.45806865935586,0.0,0.0
123,18450,0.18229973,150,0.0,100,15000,0.53260607,0.7149058,0.39482075,394.32133198371685,0.0,0.0
124,18600,0.18441588,150,0.0,102,15300,0.49313176,0.67754763,0.34246394,282.0550915749602,0.0,0.0
125,18750,0.15574306,150,0.0,105,15750,0.5421576,0.69790065,0.37550664,163.64507485094578,0.0,0.0
125,18750,0.15784591,150,0.0,109,16350,0.5119142,0.6697601,0.32593235,663.4639355291825,0.0,0.0
125,18750,0.10473949,150,0.0,114,17100,0.5749052,0.6796447,0.34124458,651.7610569138538,0.0,0.0
127,19050,0.078641295,150,0.0,117,17550,0.6228972,0.7015385,0.3806511,227.24183229388535,0.0,0.0
128,19200,0.09296405,150,0.0,119,17850,0.56347376,0.6564378,0.30287167,266.0638972258368,0.0,0.0
129,19350,0.06639773,150,0.0,122,18300,0.59851396,0.6649117,0.31377852,171.70104623338514,0.0,0.0
129,19350,0.069459856,150,0.0,125,18750,0.596037,0.6654968,0.31878203,383.28484998388626,0.0,0.0
129,19350,0.081959784,150,0.0,128,19200,0.5875526,0.6695124,0.3214703,427.6443067478074,0.0,0.0
129,19350,0.07999563,150,0.0,131,19650,0.5933469,0.6733425,0.32982087,415.2625482243219,0.0,0.0
131,19650,0.095380604,150,0.0,133,19950,0.5730783,0.6684589,0.31906393,157.27586251721135,0.0,0.0
132,19800,0.12486118,150,0.0,134,20100,0.57157725,0.69643843,0.3605956,137.9706170859323,0.0,0.0
132,19800,0.13512278,150,0.0,136,20400,0.52401274,0.6591355,0.27908596,350.73224194812593,0.0,0.0
133,19950,0.12885469,150,0.0,138,20700,0.5848725,0.7137272,0.3609172,159.55446674477702,0.0,0.0
134,20100,0.17672575,150,0.0,140,21000,0.4798807,0.65660644,0.30287427,284.4335137945455,0.0,0.0
134,20100,0.27867568,150,0.0,143,21450,0.40396327,0.68263894,0.3156048,372.4465198221195,0.0,0.0
134,20100,0.26261684,150,0.0,146,21900,0.43633726,0.6989541,0.34151608,354.17685604269406,0.0,0.0
134,20100,0.075041294,150,0.0,149,22350,0.63059974,0.70564103,0.3449025,402.22945939829145,0.0,0.0
135,20250,0.11938256,150,0.0,152,22800,0.5965249,0.71590745,0.34661508,172.40209881807212,0.0,0.0
136,20400,0.17829144,150,0.0,154,23100,0.5028879,0.68117934,0.2995241,234.51946377922846,0.0,0.0
136,20400,0.1448431,150,0.0,156,23400,0.52722687,0.67206997,0.2868005,399.7836965397165,0.0,0.0
138,20700,-0.0008427501,150,0.0,158,23700,0.70723695,0.7063942,0.33980766,154.03714055708878,0.0,0.0
138,20700,0.2381145,150,0.0,160,24000,0.4537516,0.6918661,0.30937266,371.42518105001034,0.0,0.0
138,20700,0.19419402,150,0.0,163,24450,0.47196746,0.6661615,0.2578795,379.77138103984987,0.0,0.0
138,20700,-0.02280885,150,0.0,166,24900,0.73561245,0.7128036,0.34311375,394.7632251154368,0.0,0.0
140,21000,0.18524069,150,0.0,169,25350,0.5005635,0.6858042,0.2997047,158.5358607525561,0.0,0.0
140,21000,0.23177361,150,0.0,171,25650,0.46607196,0.6978456,0.33289617,366.3486750738496,0.0,0.0
141,21150,0.2053284,150,0.0,173,25950,0.45420176,0.65953016,0.2679812,201.08246180477207,0.0,0.0
142,21300,0.15221506,150,0.0,175,26250,0.5062271,0.65844214,0.27273625,213.1278745702436,0.0,0.0
142,21300,0.28442287,150,0.0,178,26700,0.38126624,0.6656891,0.27388993,396.2071160970854,0.0,0.0
142,21300,0.23499367,150,0.0,181,27150,0.45835498,0.69334865,0.32810584,369.7070235717421,0.0,0.0
142,21300,0.12805742,150,0.0,184,27600,0.52863634,0.65669376,0.2695678,393.7246430232056,0.0,0.0
144,21600,0.2600185,150,0.0,187,28050,0.4044759,0.6644944,0.2713427,132.1363861185991,0.0,0.0
145,21750,0.18111604,150,0.0,190,28500,0.5029069,0.68402296,0.30720508,186.01508058738779,0.0,0.0
145,21750,0.19869003,150,0.0,192,28800,0.4674044,0.6660944,0.27113432,360.14109226293715,0.0,0.0
145,21750,0.17733887,150,0.0,195,29250,0.48999384,0.6673327,0.2783854,392.61750369280827,0.0,0.0
145,21750,0.14064771,150,0.0,198,29700,0.5231438,0.66379154,0.2698955,421.3932497573698,0.0,0.0
145,21750,0.17546296,150,0.0,201,30150,0.5264606,0.70192355,0.35241032,422.63794020754847,0.0,0.0
