actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
18509,205.01974,223450,0.9968176,0.8902588,0.36944905,-33.509506,14187,254570,1137,2136.9753124713898,-543.5825,-0.30522662,6.1247134,37.20986907155203
18553,209.65518,223890,0.9966233,0.8909302,0.38441232,-32.834614,14278,255480,1144,2147.167355775833,-548.55865,-0.28082538,7.526374,36.67339415248652
18599,210.80666,224350,0.9966738,0.88775635,0.38612163,-32.609447,14369,256390,1151,2157.2863194942474,-553.23865,-0.29344916,6.353119,45.780567453974776
18651,210.13098,224870,0.99685836,0.8859253,0.37311435,-33.034756,14469,257390,1159,2167.7322838306427,-549.6553,-0.31159353,4.283991,50.65558731490461
18694,221.75758,225300,0.99671364,0.8875122,0.3810587,-33.576103,14570,258400,1166,2178.6693501472473,-576.28406,-0.33692837,5.714616,34.28597469916882
18738,220.0899,225740,0.99687696,0.8781128,0.38149798,-33.631214,14658,259280,1173,2189.954925775528,-568.9793,-0.35620642,3.6615014,41.20427946012332
18790,231.24823,226260,0.99691224,0.88513184,0.37039834,-33.56658,14758,260280,1181,2201.534303188324,-593.7866,-0.32921895,3.671044,35.05166382007448
18835,223.56587,226710,0.99659944,0.87908936,0.41195345,-34.044304,14855,261250,1188,2212.088412284851,-579.9801,-0.3364941,6.2969627,46.18899195343994
18880,233.13129,227160,0.99680495,0.8792114,0.39730734,-33.618088,14941,262110,1195,2222.914463043213,-591.3199,-0.39540654,4.3470755,39.26670713743434
18924,241.66866,227600,0.99668765,0.8798218,0.40464038,-32.563637,15034,263040,1202,2232.9654879570007,-616.3069,-0.36528832,5.0505056,46.43483384181756
18969,237.36377,228050,0.996624,0.8833618,0.4020719,-32.184868,15125,263950,1209,2243.821971178055,-609.4475,-0.3299662,5.8078423,44.0211188185269
19014,239.85172,228500,0.9968343,0.87609863,0.39339483,-32.290665,15208,264780,1216,2254.161794424057,-613.7854,-0.33265722,3.9892051,38.82570587569113
19058,244.03519,228940,0.99670863,0.88616943,0.38916326,-32.56891,15302,265720,1223,2265.746560573578,-616.4845,-0.32742238,5.633769,39.62225319290448
19090,248.6769,229260,0.99678135,0.8789673,0.3891101,-31.29728,15378,266480,1228,2275.9616050720215,-627.3621,-0.35123825,4.4600496,23.463128246294644
19136,258.46744,229720,0.996614,0.89416504,0.38880336,-32.005962,15467,267370,1235,2287.5660421848297,-649.71027,-0.3288581,7.099178,37.17299541949045
19174,264.6447,230100,0.9965489,0.8812866,0.4043063,-31.36057,15558,268280,1241,2298.583525657654,-655.6924,-0.29514283,6.8001585,33.609307596978965
19212,264.9206,230480,0.99679685,0.88220215,0.38783753,-31.714947,15639,269090,1247,2308.9702615737915,-661.51086,-0.3600809,5.166481,37.13009752140923
19258,260.2046,230940,0.99678993,0.8865967,0.3717435,-31.99609,15725,269950,1254,2319.2550399303436,-652.7661,-0.32546872,5.301736,49.687560574167215
19309,259.93494,231450,0.9963844,0.888855,0.415997,-32.23745,15832,271020,1262,2329.585185289383,-654.3105,-0.28343028,9.9442215,50.67907523281637
19360,268.74185,231960,0.99696875,0.89642334,0.34804982,-32.06389,15923,271930,1270,2339.840585708618,-671.68555,-0.31120688,3.9305792,49.90102090249431
19411,269.3436,232470,0.99661493,0.8936157,0.3786927,-31.313301,16025,272950,1278,2350.2891778945923,-668.4376,-0.24732393,7.2526846,49.66098569956223
19462,269.42426,232980,0.9970484,0.897522,0.34146023,-31.63894,16127,273970,1286,2360.6214652061462,-664.72485,-0.2921508,3.94594,48.63248373001739
19513,266.95953,233490,0.99704576,0.90393066,0.32542938,-32.795,16229,274990,1294,2370.9779527187347,-670.77185,-0.2741226,4.340091,48.399843857196046
19564,267.35776,234000,0.9969795,0.8890991,0.34830266,-32.56775,16329,275990,1302,2381.26308965683,-674.4737,-0.28959253,4.066821,48.46109515913413
19616,274.53204,234520,0.9967613,0.8944702,0.3585297,-31.84098,16431,277010,1310,2391.8665914535522,-671.34656,-0.315467,7.269801,50.259983545961404
19661,297.42685,234970,0.99656963,0.89715576,0.389195,-31.67582,16523,277930,1317,2401.8951892852783,-716.1838,-0.3224942,9.957532,44.345242577241635
19712,280.09186,235480,0.9971764,0.90167236,0.30159813,-31.50095,16625,278950,1325,2412.238077878952,-691.6162,-0.2651211,3.257938,50.552169200093104
19763,273.85062,235990,0.9971032,0.9006958,0.31659502,-32.965206,16727,279970,1333,2422.6204669475555,-677.2433,-0.27350003,4.0306406,47.44739779034626
19815,279.10388,236510,0.9970863,0.9065552,0.3044457,-32.64984,16827,280970,1341,2432.9229052066803,-682.9326,-0.25307214,4.804205,50.92140700558696
19865,280.8433,237010,0.9970546,0.90423584,0.3112203,-33.64422,16935,282050,1349,2443.185012817383,-694.7859,-0.2481291,5.4989214,50.01431964542966
19917,278.7445,237530,0.9969833,0.90838623,0.31207103,-33.406315,17031,283010,1357,2453.650903701782,-686.36145,-0.19881824,6.614747,51.12631712871084
19967,288.36414,238030,0.9972677,0.9113159,0.27315336,-33.14683,17143,284130,1365,2464.1159093379974,-702.2863,-0.24236856,3.244947,47.158753978713904
20018,282.76483,238540,0.9970932,0.91192627,0.28904766,-33.716595,17242,285120,1373,2474.381649017334,-698.3144,-0.22182998,5.8088217,49.913639982759385
20070,274.94614,239060,0.9973297,0.9160156,0.25897744,-34.42402,17335,286050,1381,2484.6805980205536,-675.66876,-0.23838073,2.6759486,49.25377831534695
20121,273.05096,239570,0.9972069,0.92089844,0.26284364,-33.999325,17436,287060,1389,2494.909562110901,-673.8451,-0.2311913,5.195979,49.94465806010354
20173,276.45117,240090,0.9972658,0.911499,0.26034355,-34.224632,17536,288060,1397,2505.193196773529,-690.0093,-0.22354831,3.1880596,50.73595329884727
20223,272.85117,240590,0.99728584,0.91448975,0.25662404,-33.961826,17649,289190,1405,2515.5969138145447,-669.8567,-0.23814563,3.2179275,47.10793153124253
20274,274.48364,241100,0.99728966,0.91204834,0.26651618,-33.868183,17748,290180,1413,2527.0369243621826,-687.76575,-0.2425939,3.2076676,43.8461835991198
20325,269.67438,241610,0.9973326,0.920166,0.24413429,-33.527607,17843,291130,1421,2537.3258786201477,-679.31573,-0.22046307,2.824057,48.398744323048874
20377,278.2085,242130,0.996927,0.9227295,0.31277114,-33.720116,17944,292140,1429,2547.81826376915,-696.79205,-0.21630883,9.621514,48.50534301432815
20428,285.8047,242640,0.99694777,0.9230957,0.29860705,-33.94546,18045,293150,1437,2558.152340888977,-706.471,-0.24841028,8.472431,49.05288825605295
20479,265.37823,243150,0.9973004,0.9216919,0.25176913,-34.391056,18151,294210,1445,2568.5950207710266,-671.2445,-0.19915047,4.163203,49.50247839301215
20532,278.28564,243680,0.99715257,0.9189453,0.27279663,-34.233864,18263,295330,1453,2579.0518260002136,-681.7306,-0.25011972,5.415489,51.18263284610115
20582,283.9151,244180,0.99726367,0.9215088,0.258225,-34.311836,18355,296250,1461,2589.531779527664,-696.94214,-0.21035019,4.6957536,50.54324096037549
20633,267.0508,244690,0.9973583,0.91900635,0.24867916,-34.489326,18455,297250,1469,2599.8367586135864,-659.2363,-0.215239,2.9753745,49.269770509182806
20684,274.22754,245200,0.996732,0.92163086,0.33920377,-33.313164,18557,298270,1477,2610.138857126236,-681.42554,-0.20533323,12.797088,49.35755505701938
20729,273.7796,245650,0.9971187,0.9138794,0.28452206,-33.937515,18648,299180,1484,2620.21138048172,-681.07574,-0.23117192,5.6111565,44.153131917033996
20780,263.42105,246160,0.997334,0.9220581,0.24299328,-33.727097,18750,300200,1492,2631.108240365982,-659.6138,-0.1865427,3.0401144,50.79052772032117
20838,281.0626,246740,0.99724126,0.9215698,0.26142856,-32.767265,18862,301320,1501,2642.3035628795624,-689.15515,-0.20750806,5.136834,49.16835243850326
20889,281.2523,247250,0.99692464,0.9202881,0.29476118,-34.000786,18966,302360,1509,2653.1511087417603,-692.63684,-0.21815577,7.7497306,51.652578766513074
20947,277.20105,247830,0.9972894,0.91882324,0.24910048,-33.747368,19077,303470,1518,2664.1134819984436,-675.895,-0.23161891,3.7380025,53.9009269574255
21004,272.80508,248400,0.99714327,0.916687,0.27612633,-33.132153,19192,304620,1527,2675.0492646694183,-672.6206,-0.21780172,5.2752867,52.60684127845176
21062,279.4297,248980,0.99730086,0.92248535,0.24662563,-32.982014,19305,305750,1536,2685.948917388916,-682.47394,-0.23852775,3.6556966,53.14872648989328
21120,284.56818,249560,0.9973817,0.9229126,0.23560974,-33.23847,19418,306880,1545,2696.871900320053,-699.4923,-0.2202623,2.1607008,52.21870131891219
21178,291.16644,250140,0.9972234,0.9154663,0.26640692,-33.607113,19533,308030,1554,2708.035290956497,-689.2427,-0.21342063,4.65189,51.55245854886706
21234,293.09772,250700,0.9972832,0.9116821,0.25829673,-34.218025,19645,309150,1563,2719.0452966690063,-702.30554,-0.21841596,2.713364,51.73911357394112
21293,291.22394,251290,0.99729514,0.91326904,0.26736158,-33.307907,19757,310270,1572,2729.8860478401184,-718.1004,-0.22453895,3.1404023,53.50911986732129
21350,299.50867,251860,0.99699736,0.90960693,0.3065302,-33.423492,19874,311440,1581,2740.8586509227753,-721.3712,-0.22243181,6.918204,53.04596703324282
21407,290.77856,252430,0.99725103,0.91851807,0.2650022,-33.606567,19989,312590,1590,2751.674172401428,-700.21106,-0.2422979,3.785389,52.64408552004271
21467,301.7234,253030,0.9967034,0.9147339,0.34072936,-33.228916,20111,313810,1599,2762.531797885895,-721.0608,-0.22665806,10.856946,53.8695905990314
21516,299.86218,253520,0.9971471,0.9151001,0.28235745,-32.905685,20213,314830,1607,2772.6282138824463,-713.30743,-0.21158117,4.9969344,41.813047156364036
21569,293.2144,254050,0.99729466,0.9164429,0.26335222,-32.38803,20306,315760,1615,2783.124233484268,-711.70557,-0.22465077,3.6228828,53.02696906747284
21626,291.04657,254620,0.99716926,0.91070557,0.2876329,-32.562523,20417,316870,1624,2793.9319984912872,-711.3485,-0.2477601,3.507543,54.830538209937686
21682,305.221,255180,0.9967315,0.9121704,0.3448885,-32.255142,20530,318000,1633,2804.794536590576,-734.3625,-0.22458768,10.181964,52.30973405455629
21740,288.48865,255760,0.9971709,0.9092407,0.28201455,-32.78327,20643,319130,1642,2815.60799241066,-701.3663,-0.24801694,3.6247997,53.111342997371295
21798,296.5576,256340,0.9971502,0.90893555,0.29401666,-32.56877,20759,320290,1651,2826.6406874656677,-722.0846,-0.24595644,4.9219556,48.76558984763311
21857,282.89966,256930,0.99725413,0.913147,0.27525866,-32.701324,20863,321330,1660,2837.6568756103516,-699.5086,-0.25640556,3.834015,49.35955173324943
21914,287.23563,257500,0.99706984,0.90753174,0.3003279,-32.7425,20975,322450,1669,2848.625778198242,-699.15393,-0.24405673,5.7197886,54.97389821997386
21970,293.79633,258060,0.99717927,0.91589355,0.27692568,-32.996674,21088,323580,1678,2859.5807571411133,-716.5442,-0.20679034,5.395348,52.05509121333427
22029,307.922,258650,0.99728894,0.91082764,0.26277006,-32.415276,21202,324720,1687,2870.536387681961,-738.3219,-0.23822895,3.21824,53.86807716566119
22086,302.90054,259220,0.9970629,0.9142456,0.29194018,-32.677612,21314,325840,1696,2881.433254003525,-729.9668,-0.23226556,7.1850977,53.39536030941349
22144,295.1789,259800,0.99740434,0.92407227,0.23564096,-33.43705,21427,326970,1705,2892.4245195388794,-720.4403,-0.21363348,3.339602,52.297158246975194
22195,306.3152,260310,0.99732447,0.91937256,0.2547938,-33.44609,21540,328100,1713,2903.1535606384277,-730.2665,-0.25004348,3.8021302,47.91382932827936
22253,302.8484,260890,0.99734426,0.92041016,0.2414667,-34.344994,21641,329110,1722,2914.121012210846,-715.78687,-0.2108188,3.571473,53.87432603269402
22296,302.33975,261320,0.9973006,0.92285156,0.25291732,-32.799316,21735,330050,1729,2925.1913895606995,-728.3851,-0.18764544,4.552043,37.08783654769454
22348,295.97397,261840,0.9973874,0.918396,0.24185231,-33.782837,21831,331010,1737,2935.684490442276,-739.27014,-0.21723856,2.9862108,49.00505959699575
22401,281.24432,262370,0.9971292,0.9173584,0.28455615,-34.07812,21932,332020,1745,2946.6556153297424,-707.39264,-0.2253834,6.852784,42.84619083988351
22445,304.17548,262810,0.9972322,0.9212036,0.2646808,-32.817448,22022,332920,1752,2957.8053061962128,-736.08356,-0.18400246,6.0921893,45.828627328794894
22488,298.1608,263240,0.99722815,0.91656494,0.2823829,-32.719093,22112,333820,1759,2969.549810886383,-726.3281,-0.23573011,6.667303,33.87584175206336
