actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
3,450,0.14225227,0.0,0.0,0.0,150,0.0,0.4648373,0.6019345,0.6019345,0.6019345,0.6070896,0.6019345,0.6019345,0.6019345,0.26081395,0.6019345,0.6019345,0.6019345,27.16563293474438,0.0,nan
1,150,0.24650833,0.0,0.0,0.0,150,0.0,0.30760655,0.5794256,0.5794256,0.5794256,0.5541149,0.5794256,0.5794256,0.5794256,0.2736774,0.5794256,0.5794256,0.5794256,13.34774131469987,0.0,nan
4,600,-0.014431059,0.025955463,0.025955463,0.025955463,150,0.0,1,150,0.6238387,0.5702154,0.5702154,0.5702154,0.60940766,0.59617084,0.59617084,0.59617084,0.409197,0.43390086,0.43390086,0.43390086,12.6329856177528,0.0,0.0
