delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
-0.13228583,150,0.0,65,9750,0.22009957,0.087813735,0.047434624,195.2757313230485,0.0,0.0
-0.176508,150,0.0,67,10050,0.27086538,0.094357386,0.087429106,190.87755747831736,0.0,0.0
-0.15997769,150,0.0,68,10200,0.25895283,0.09897514,0.09583705,89.51977424040699,0.0,0.0
-0.22003742,150,0.0,69,10350,0.31784016,0.09780274,0.094648115,149.46760035768892,0.0,0.0
-0.2269054,150,0.0,71,10650,0.32255638,0.09565098,0.0939952,232.42309093286855,0.0,0.0
-0.24512273,150,0.0,73,10950,0.35423267,0.10910994,0.10866219,237.73648644818866,0.0,0.0
-0.15056434,150,0.0,75,11250,0.2988488,0.14828447,0.13420002,247.21480116388042,0.0,0.0
-0.17568137,150,0.0,77,11550,0.31663847,0.1409571,0.13244843,148.3508220246922,0.0,0.0
-0.23344922,150,0.0,78,11700,0.3466483,0.11319908,0.11292349,94.14298311519612,0.0,0.0
-0.2792144,150,0.0,80,12000,0.37010697,0.09089256,0.09089256,166.56203132177023,0.0,0.0
-0.27020442,150,0.0,81,12150,0.35479158,0.08458717,0.0844635,107.39636046441164,0.0,0.0
-0.29961982,150,0.0,83,12450,0.37435699,0.07473717,0.07473717,212.19161763892467,0.0,0.0
-0.18419349,150,0.0,85,12750,0.33422,0.1500265,0.1350154,208.87871039112036,0.0,0.0
-0.2983051,150,0.0,87,13050,0.38937962,0.09107452,0.09107452,184.7896616928925,0.0,0.0
-0.21047299,150,0.0,88,13200,0.3367479,0.12627493,0.12627493,116.08439245821653,0.0,0.0
