actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
2,300,-0.06053193,0.0,0.0,0.0,150,0.0,1,150,0.14685492,0.11900761,0.11900761,0.11900761,0.08632299,0.11900761,0.11900761,0.11900761,0.049586818,0.11900761,0.11900761,0.11900761,44.09699907712112,0.0,nan
3,450,-0.1274395,0.0033682361,0.0033682361,0.0033682361,150,0.0,2,300,0.20184948,0.11537592,0.11537592,0.11537592,0.07440997,0.118744165,0.118744165,0.118744165,0.06988047,0.10850086,0.10850086,0.10850086,36.24049432806232,0.0,0.0
3,450,0.08295326,-0.018273314,-0.018273314,-0.018273314,150,0.0,2,300,0.09657124,0.124415234,0.124415234,0.124415234,0.1795245,0.10614191,0.10614191,0.10614191,0.07361889,0.094452836,0.094452836,0.094452836,34.86121438225901,0.0,0.0
1,150,-0.022643976,0.0,0.0,0.0,150,0.0,1,150,0.09712392,0.10946653,0.10946653,0.10946653,0.074479945,0.10946653,0.10946653,0.10946653,0.07357584,0.10946653,0.10946653,0.10946653,14.328515496199175,0.0,nan
1,150,-0.116463825,0.0,0.0,0.0,150,0.0,2,300,0.24600306,0.084487624,0.084487624,0.084487624,0.12953924,0.084487624,0.084487624,0.084487624,0.07356812,0.084487624,0.084487624,0.084487624,21.071416777419508,0.0,nan
