actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
1,10,0.044499397,0.0,0.0,0.0,10,0.0,1,10,0.6166692,0.66027886,0.66027886,0.66027886,0.6611686,0.66027886,0.66027886,0.66027886,0.5929316,0.66027886,0.66027886,0.66027886,0.9061135439574179,0.0,nan
4,40,-0.041057467,-0.00034598113,-0.00034598113,-0.00034598113,10,0.0,0.69767165,0.68305975,0.68305975,0.68305975,0.6566142,0.68271375,0.68271375,0.68271375,0.65250474,0.66965276,0.66965276,0.66965276,1.7456327176948796,0.0,0.0
957,9570,0.029541194,0.008537988,0.008537988,0.008537988,10,0.0,238,2380,0.6688645,0.6696961,0.6696961,0.6696961,0.6984057,0.67823404,0.67823404,0.67823404,0.6688645,0.6658947,0.6658947,0.6658947,1.6422984058408647,0.0,0.0
954,9540,0.37776333,0.0,0.0,0.0,10,0.0,238,2380,0.2788136,0.6691904,0.6691904,0.6691904,0.65657693,0.6691904,0.6691904,0.6691904,0.2788136,0.6691904,0.6691904,0.6691904,1.6841151748497998,0.0,nan
