actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
123,18450,-0.043893516,150,0.0,128,19200,0.7619072,0.7180137,0.7018873,219.19929593732002,0.0,0.0
124,18600,-0.1041559,150,0.0,132,19800,0.84198624,0.73783034,0.7207714,312.50091890764236,0.0,0.0
125,18750,-0.15933043,150,0.0,137,20550,0.8597896,0.7004592,0.6927098,287.85470224685173,0.0,0.0
125,18750,-0.1408208,150,0.0,142,21300,0.87382853,0.7330077,0.71789294,706.2148237116527,0.0,0.0
125,18750,-0.10890108,150,0.0,147,22050,0.77005285,0.66115177,0.66115177,757.6845028560142,0.0,0.0
127,19050,-0.21731979,150,0.0,150,22500,0.88067997,0.6633602,0.6633602,248.12983376387766,0.0,0.0
127,19050,-0.20488691,150,0.0,155,23250,0.8386667,0.63377976,0.63377976,668.7517538712722,0.0,0.0
129,19350,-0.114388585,150,0.0,158,23700,0.8127738,0.69838524,0.6847889,492.36317193193344,0.0,0.0
129,19350,-0.17551833,150,0.0,162,24300,0.8943064,0.7187881,0.7179884,692.2832136514385,0.0,0.0
129,19350,-0.15661252,150,0.0,167,25050,0.89034444,0.7337319,0.7329405,774.8728344914734,0.0,0.0
131,19650,-0.19841182,150,0.0,171,25650,0.89235,0.6939382,0.6939382,290.5587042141121,0.0,0.0
131,19650,-0.1324752,150,0.0,175,26250,0.85402906,0.72155386,0.7138954,639.2697144680302,0.0,0.0
132,19800,-0.16109341,150,0.0,179,26850,0.85126454,0.6901711,0.68611073,359.3308740000034,0.0,0.0
133,19950,-0.098876774,150,0.0,183,27450,0.8910636,0.7921868,0.7727954,382.52746537833184,0.0,0.0
133,19950,-0.16131186,150,0.0,188,28200,0.8898356,0.72852373,0.7263158,799.5729819584877,0.0,0.0
134,20100,-0.18022865,150,0.0,193,28950,0.8631025,0.68287385,0.6825562,308.47063391979856,0.0,0.0
135,20250,-0.14485008,150,0.0,196,29400,0.7978308,0.65298074,0.65298074,668.0714511741107,0.0,0.0
136,20400,-0.09579414,150,0.0,201,30150,0.88274604,0.7869519,0.7654035,534.8140314965717,0.0,0.0
137,20550,-0.15265071,150,0.0,204,30600,0.84962976,0.69697905,0.68597853,258.67856943151577,0.0,0.0
137,20550,-0.119574904,150,0.0,209,31350,0.83619416,0.71661925,0.6989857,709.2912562034529,0.0,0.0
137,20550,-0.19793755,150,0.0,214,32100,0.8561991,0.65826154,0.658256,703.0541695767565,0.0,0.0
139,20850,-0.14850569,150,0.0,217,32550,0.8763702,0.7278645,0.722859,316.7251054541134,0.0,0.0
139,20850,-0.16220725,150,0.0,222,33300,0.8401982,0.677991,0.67451125,706.969510708278,0.0,0.0
140,21000,-0.17068571,150,0.0,226,33900,0.8516369,0.6809512,0.6809512,300.31963034387945,0.0,0.0
141,21150,-0.11287987,150,0.0,229,34350,0.8738269,0.76094705,0.74868214,442.0075566502878,0.0,0.0
141,21150,-0.1344229,150,0.0,234,35100,0.7857241,0.6513012,0.6513012,669.0596941754233,0.0,0.0
142,21300,-0.20585549,150,0.0,238,35700,0.8876176,0.6817621,0.6817621,289.51298986662937,0.0,0.0
143,21450,-0.18168253,150,0.0,241,36150,0.8855299,0.70384735,0.70384735,662.1874282971723,0.0,0.0
143,21450,-0.15557635,150,0.0,246,36900,0.84266376,0.6870874,0.6805365,931.2618416066692,0.0,0.0
145,21750,-0.1412412,150,0.0,249,37350,0.84716845,0.70592725,0.70004904,287.3212421461629,0.0,0.0
145,21750,-0.13198233,150,0.0,254,38100,0.82365775,0.6916754,0.6916754,718.5833592222365,0.0,0.0
146,21900,-0.13979924,150,0.0,259,38850,0.86042774,0.7206285,0.7202526,251.1230465631646,0.0,0.0
147,22050,-0.11419809,150,0.0,262,39300,0.78044826,0.66625017,0.66625017,728.3952847030711,0.0,0.0
147,22050,-0.14127648,150,0.0,267,40050,0.8373533,0.6960768,0.6960768,725.4899383187981,0.0,0.0
148,22200,-0.13270056,150,0.0,270,40500,0.85669583,0.72399527,0.7106103,706.6383926966898,0.0,0.0
149,22350,-0.1654293,150,0.0,273,40950,0.83573544,0.67030615,0.67030615,327.07882231045124,0.0,0.0
149,22350,-0.20235425,150,0.0,278,41700,0.8787421,0.67638785,0.67638785,778.9781528003913,0.0,0.0
151,22650,-0.13736951,150,0.0,282,42300,0.8858892,0.74851966,0.7445949,227.97963659976585,0.0,0.0
151,22650,-0.17282301,150,0.0,286,42900,0.8596673,0.6868443,0.68593657,705.3747431135369,0.0,0.0
152,22800,-0.14806503,150,0.0,291,43650,0.8268862,0.67882115,0.67882115,635.2497145066949,0.0,0.0
153,22950,-0.16262913,150,0.0,294,44100,0.86486036,0.7022312,0.7022312,308.43675911418245,0.0,0.0
153,22950,-0.14604169,150,0.0,299,44850,0.893515,0.7474733,0.74427605,743.6366408640737,0.0,0.0
155,23250,-0.121724844,150,0.0,303,45450,0.8720165,0.75029165,0.73863375,263.4691399953684,0.0,0.0
155,23250,-0.115692794,150,0.0,306,45900,0.8744322,0.7587394,0.74238855,662.1198296356869,0.0,0.0
155,23250,-0.14490455,150,0.0,311,46650,0.83899516,0.6940906,0.6940906,685.0833397760547,0.0,0.0
157,23550,-0.16161215,150,0.0,314,47100,0.8508482,0.68923604,0.6828469,450.0944335702757,0.0,0.0
157,23550,-0.13761091,150,0.0,318,47700,0.90135443,0.7637435,0.74975306,712.0648383624714,0.0,0.0
157,23550,-0.1681146,150,0.0,323,48450,0.8572898,0.6891752,0.68550426,818.1900466611527,0.0,0.0
159,23850,-0.14882046,150,0.0,326,48900,0.8298858,0.6810653,0.6712997,444.26950820366704,0.0,0.0
159,23850,-0.19022095,150,0.0,330,49500,0.8353068,0.6450859,0.6450859,716.8941623680064,0.0,0.0
160,24000,-0.18783474,150,0.0,334,50100,0.84351724,0.6556825,0.6556825,277.29114429509644,0.0,0.0
161,24150,-0.15997547,150,0.0,338,50700,0.8283998,0.6684243,0.66631824,348.4275928449867,0.0,0.0
161,24150,-0.18109393,150,0.0,343,51450,0.83301383,0.6519199,0.6519199,739.0557546667794,0.0,0.0
163,24450,-0.16760892,150,0.0,348,52200,0.87036765,0.7027587,0.6991557,289.42096082082685,0.0,0.0
163,24450,-0.102072656,150,0.0,351,52650,0.86525416,0.7631815,0.7431885,730.9858123973924,0.0,0.0
164,24600,-0.17038304,150,0.0,356,53400,0.86517495,0.6947919,0.6947919,264.51871677989146,0.0,0.0
165,24750,-0.16168869,150,0.0,360,54000,0.8316902,0.6700015,0.66760737,343.5757466537787,0.0,0.0
165,24750,-0.17410517,150,0.0,365,54750,0.8331924,0.65908724,0.65908724,727.4671501449973,0.0,0.0
166,24900,-0.16564798,150,0.0,370,55500,0.8448419,0.6791939,0.67678815,538.5976416766115,0.0,0.0
167,25050,-0.15005314,150,0.0,373,55950,0.8482291,0.69817597,0.69523644,419.3434561234304,0.0,0.0
167,25050,-0.15693855,150,0.0,378,56700,0.8825213,0.7255827,0.7213441,734.6999404435206,0.0,0.0
168,25200,-0.1715551,150,0.0,381,57150,0.8576111,0.686056,0.686056,746.5866694513799,0.0,0.0
169,25350,-0.11767793,150,0.0,385,57750,0.86576355,0.7480856,0.7320449,592.2646857534471,0.0,0.0
169,25350,-0.19850463,150,0.0,390,58500,0.8882911,0.6897865,0.6897865,724.7469732401019,0.0,0.0
171,25650,-0.17966843,150,0.0,393,58950,0.8505727,0.6709043,0.6709043,302.4595956536663,0.0,0.0
171,25650,-0.17165816,150,0.0,398,59700,0.8506621,0.67900395,0.6755955,727.8871284035888,0.0,0.0
172,25800,-0.09946066,150,0.0,402,60300,0.8796614,0.7802007,0.76087725,474.1262345906954,0.0,0.0
173,25950,-0.16676974,150,0.0,406,60900,0.8692882,0.70251846,0.6956193,500.49051038217806,0.0,0.0
173,25950,-0.17136729,150,0.0,411,61650,0.82654387,0.6551766,0.652186,827.0048583506846,0.0,0.0
175,26250,-0.203304,150,0.0,415,62250,0.8665004,0.6631964,0.6631964,332.56542067190156,0.0,0.0
175,26250,-0.108582854,150,0.0,419,62850,0.83358395,0.7250011,0.7094259,691.7792976051722,0.0,0.0
175,26250,-0.14925492,150,0.0,424,63600,0.88252276,0.73326784,0.73069805,659.134920618291,0.0,0.0
177,26550,-0.18767607,150,0.0,427,64050,0.8910257,0.70334965,0.70334965,527.3315821147725,0.0,0.0
177,26550,-0.0993191,150,0.0,431,64650,0.84370476,0.74438566,0.7201974,701.2455652860119,0.0,0.0
177,26550,-0.16996485,150,0.0,436,65400,0.8682827,0.6983178,0.69731647,734.8552646793958,0.0,0.0
179,26850,-0.11363584,150,0.0,439,65850,0.8161104,0.70247453,0.6832574,342.1638678084717,0.0,0.0
179,26850,-0.16052699,150,0.0,443,66450,0.84216636,0.6816394,0.67830807,766.2219385922073,0.0,0.0
180,27000,-0.14069277,150,0.0,447,67050,0.8491616,0.70846885,0.69804,401.6134870048419,0.0,0.0
181,27150,-0.14795327,150,0.0,451,67650,0.85324764,0.7052944,0.69988126,296.89563395435755,0.0,0.0
181,27150,-0.15515465,150,0.0,456,68400,0.86502904,0.7098744,0.70204246,701.2572896046225,0.0,0.0
183,27450,-0.12010664,150,0.0,461,69150,0.85046977,0.73036313,0.7138006,217.43659077501144,0.0,0.0
183,27450,-0.19345737,150,0.0,466,69900,0.8939883,0.70053095,0.70053095,738.7216614925064,0.0,0.0
184,27600,-0.11353135,150,0.0,469,70350,0.8432968,0.7297655,0.7107637,725.9955896454753,0.0,0.0
185,27750,-0.11774832,150,0.0,472,70800,0.8700649,0.7523166,0.7417096,318.9486155307745,0.0,0.0
185,27750,-0.16806996,150,0.0,477,71550,0.8165483,0.6484783,0.64840674,701.3948842353109,0.0,0.0
185,27750,-0.16586328,150,0.0,482,72300,0.8306096,0.66474634,0.6596215,672.0269688557142,0.0,0.0
187,28050,-0.18955833,150,0.0,485,72750,0.8943631,0.7048048,0.7048048,360.74138420387203,0.0,0.0
188,28200,-0.19038159,150,0.0,489,73350,0.8570102,0.6666286,0.664902,424.6235459671786,0.0,0.0
188,28200,-0.14913774,150,0.0,494,74100,0.8559336,0.7067959,0.7013208,837.891080722577,0.0,0.0
189,28350,-0.12806755,150,0.0,498,74700,0.81081057,0.682743,0.6696667,678.0521451234653,0.0,0.0
189,28350,-0.12542003,150,0.0,503,75450,0.8827262,0.75730616,0.74306303,726.1162463515044,0.0,0.0
191,28650,-0.14626819,150,0.0,507,76050,0.84276044,0.69649225,0.6917771,274.278181010479,0.0,0.0
192,28800,-0.19172841,150,0.0,511,76650,0.8712569,0.6795285,0.6795285,282.93411679101945,0.0,0.0
192,28800,-0.12175071,150,0.0,516,77400,0.8456549,0.7239042,0.7143443,714.3326225722285,0.0,0.0
193,28950,-0.15186697,150,0.0,519,77850,0.8682738,0.7164068,0.7112154,673.1724227956832,0.0,0.0
193,28950,-0.13447553,150,0.0,524,78600,0.8182968,0.68382126,0.67075616,769.6714422555818,0.0,0.0
194,29100,-0.13846952,150,0.0,528,79200,0.83114904,0.6926795,0.68259394,335.39549383953363,0.0,0.0
195,29250,-0.18576092,150,0.0,531,79650,0.9171907,0.73142976,0.73142976,707.5642368003455,0.0,0.0
196,29400,-0.14559937,150,0.0,535,80250,0.84664553,0.70104617,0.69459546,292.16193449099893,0.0,0.0
197,29550,-0.13589823,150,0.0,539,80850,0.82769156,0.6917933,0.6747969,274.07016314944826,0.0,0.0
197,29550,-0.11150986,150,0.0,544,81600,0.8103873,0.69887745,0.6786619,690.4946704830808,0.0,0.0
198,29700,-0.14589602,150,0.0,550,82500,0.85432136,0.70842534,0.7035923,258.0968266770155,0.0,0.0
