actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
721,108150,0.32476535,0.16379026,0.18539387,0.20580837,150,0.0,2570,385500,0.37446448,0.5243302,0.50308096,0.4823817,0.69922984,0.6881205,0.6884747,0.68819004,0.32198063,0.3547706,0.34061885,0.34848452,22.642637195582793,0.0,0.0
729,109350,0.3800198,0.29348773,0.19017851,0.20661686,150,0.0,2602,390300,0.31012872,0.3940338,0.49847853,0.481592,0.69014853,0.6875216,0.688657,0.6882089,0.31012872,0.32705754,0.33849266,0.3482735,22.602059709947245,0.0,0.0
737,110550,0.22191086,0.25950536,0.19269635,0.20710236,150,0.0,2637,395550,0.46075055,0.43040434,0.49571225,0.4811034,0.6826614,0.6899097,0.6884086,0.6882057,0.30500454,0.33361778,0.33766118,0.34809837,20.695844453267657,0.0,0.0
745,111750,0.3051941,0.2219725,0.19794889,0.20745327,150,0.0,2666,399900,0.3830094,0.4632656,0.49003163,0.48071313,0.6882035,0.68523806,0.6879805,0.6881665,0.30934638,0.32555282,0.33595115,0.34782198,22.635858465584242,0.0,0.0
753,112950,0.3616529,0.26379004,0.20383519,0.20808995,150,0.0,2704,405600,0.3237015,0.42106143,0.48417646,0.48004475,0.6853544,0.68485147,0.68801177,0.6881346,0.3237015,0.3201782,0.33527288,0.34753126,22.277697809476,0.0,0.0
761,114150,0.33846694,0.215312,0.19918126,0.20778704,150,0.0,2736,410400,0.34148264,0.47072276,0.4884595,0.48033604,0.6799496,0.6860348,0.68764067,0.688123,0.30124086,0.3320874,0.33474183,0.34739506,22.636740505329414,0.0,0.0
769,115350,0.2865077,0.25383142,0.21026069,0.20830254,150,0.0,2773,415950,0.41259357,0.43378004,0.47759506,0.479798,0.69910127,0.68761146,0.68785584,0.6881005,0.3580792,0.3285882,0.33276245,0.3471565,20.635294021951395,0.0,0.0
777,116550,0.37296858,0.18615139,0.21111026,0.20816144,150,0.0,2804,420600,0.32099065,0.50144583,0.47680843,0.4799294,0.69395924,0.6875972,0.68791854,0.68809086,0.32099065,0.3371668,0.33334595,0.3470682,22.68874570118019,0.0,0.0
785,117750,0.30023685,0.25156724,0.22021657,0.2088353,150,0.0,2835,425250,0.3785734,0.43429017,0.466951,0.4792188,0.67881024,0.6858574,0.6871675,0.688054,0.3340065,0.32408908,0.33234122,0.34682623,22.548591811508437,0.0,0.0
793,118950,0.2945657,0.2016935,0.223302,0.20856519,150,0.0,2872,430800,0.39941254,0.4868908,0.46388352,0.47949153,0.69397825,0.68858427,0.6871855,0.6880567,0.3377377,0.34043097,0.33305767,0.3467631,20.736812461832002,0.0,0.0
801,120150,0.17649174,0.21950579,0.22757971,0.20868601,150,0.0,2902,435300,0.5156728,0.46881357,0.45882884,0.4793467,0.69216454,0.6883193,0.6864085,0.6880327,0.35017225,0.32940897,0.33159456,0.34652066,22.395206413414023,0.0,0.0
809,121350,0.25507227,0.1558162,0.22295931,0.20829566,150,0.0,2937,440550,0.42100534,0.53138226,0.46382454,0.47972482,0.6760776,0.68719846,0.6867839,0.68802047,0.32281986,0.32481414,0.3313628,0.34631866,22.105759132502317,0.0,0.0
817,122550,0.16290659,0.20934081,0.2294706,0.20841229,150,0.0,2970,445500,0.5165461,0.4765907,0.45695767,0.47960195,0.67945266,0.6859315,0.6864283,0.6880142,0.31986663,0.3278411,0.32849655,0.34615898,22.37780703569007,0.0,0.0
825,123750,0.1813851,0.1917912,0.22244458,0.20824413,150,0.0,3003,450450,0.502366,0.49319062,0.46386108,0.4797338,0.6837511,0.6849818,0.68630576,0.68797785,0.32553634,0.33280984,0.32877013,0.34601894,22.651849280889216,0.0,0.0
833,124950,-0.014970541,0.14286478,0.21245542,0.2076852,150,0.0,3036,455400,0.6997325,0.55044734,0.47428435,0.48035988,0.68476194,0.6933121,0.6867398,0.6880451,0.33387095,0.3351611,0.32955056,0.34592843,22.588139598156285,0.0,0.0
841,126150,0.16752368,0.13137181,0.20112188,0.20672749,150,0.0,3069,460350,0.5114403,0.55499226,0.48545453,0.4812764,0.67896396,0.68636405,0.6865765,0.6880039,0.32807344,0.3337913,0.32968947,0.34577763,22.397472241660715,0.0,0.0
849,127350,0.26144093,0.1091489,0.18993555,0.20576198,150,0.0,3104,465600,0.4353268,0.5774819,0.49676394,0.48223096,0.69676775,0.68663085,0.6866994,0.68799293,0.35181382,0.340924,0.33098388,0.34573504,22.517819409440243,0.0,0.0
857,128550,0.15435952,0.1575653,0.18374136,0.20534255,150,0.0,3135,470250,0.52870065,0.5292755,0.50304806,0.4826398,0.68306017,0.6868408,0.6867894,0.6879824,0.32427198,0.33523098,0.33134526,0.34561417,22.62013663211764,0.0,0.0
865,129750,0.2560705,0.15032502,0.18019569,0.20497546,150,0.0,3168,475200,0.44417232,0.5334734,0.5066025,0.4829757,0.7002428,0.68379843,0.6867981,0.6879512,0.355103,0.3253823,0.3317415,0.34544364,22.539897940462655,0.0,0.0
873,130950,0.03688985,0.17507116,0.17431758,0.20468314,150,0.0,3201,480150,0.64607894,0.50897944,0.512165,0.48323005,0.6829688,0.68405056,0.6864826,0.68791324,0.30901033,0.33055043,0.331202,0.34533402,22.103614063667287,0.0,0.0
881,132150,0.11048317,0.2314796,0.18049835,0.20514262,150,0.0,3235,485250,0.58185405,0.45310014,0.50599647,0.48274255,0.6923372,0.68457973,0.68649477,0.68788517,0.33983114,0.32243997,0.33106002,0.34510487,22.681883733974306,0.0,0.0
889,133350,0.20887482,0.2425277,0.1754647,0.2051949,150,0.0,3269,490350,0.47390872,0.44959244,0.5116,0.48272645,0.68278354,0.6921202,0.68706465,0.6879214,0.32623827,0.33926645,0.33174974,0.3450864,22.580433059234185,0.0,0.0
897,134550,0.30409318,0.22666332,0.18093863,0.20558736,150,0.0,3306,495900,0.3768217,0.45896235,0.5057536,0.48229986,0.6809149,0.6856257,0.6866922,0.68788725,0.30261084,0.33358067,0.33136168,0.3449614,20.659766194107537,0.0,0.0
905,135750,0.37936857,0.26699275,0.18600498,0.20626843,150,0.0,3335,500250,0.30197915,0.41248566,0.4997992,0.48154512,0.6813477,0.6794784,0.6858043,0.6878136,0.30197915,0.31631714,0.33072665,0.34471926,22.52300197576599,0.0,0.0
913,136950,0.3046108,0.30247802,0.19786666,0.20727932,150,0.0,3372,505800,0.38929653,0.37954658,0.48797244,0.48050356,0.6939073,0.6820246,0.6858392,0.6877829,0.3258857,0.32713714,0.33105633,0.3445798,22.665155621707605,0.0,0.0
921,138150,0.3326433,0.30523923,0.20355448,0.20803256,150,0.0,3403,510450,0.352846,0.3783421,0.48228076,0.47969878,0.6854893,0.68358135,0.6858352,0.6877313,0.3329824,0.32450315,0.33078998,0.34437868,22.519380619101707,0.0,0.0
929,139350,0.33537737,0.23020688,0.21057414,0.20808259,150,0.0,3438,515700,0.3542432,0.45115986,0.4748936,0.47961688,0.68962055,0.6813667,0.68546766,0.68769944,0.34244508,0.3258066,0.3298728,0.34421673,22.298911781393358,0.0,0.0
937,140550,0.16961598,0.2043598,0.21735157,0.20809098,150,0.0,3471,520650,0.5255327,0.48215055,0.46753615,0.47961104,0.6951487,0.6865104,0.6848877,0.687702,0.3561097,0.33304352,0.32950673,0.34413874,22.496103425231354,0.0,0.0
945,141750,0.1687237,0.19194607,0.22301474,0.20814638,150,0.0,3506,525900,0.52780306,0.49306282,0.4620416,0.4795355,0.69652677,0.6850089,0.6850563,0.68768185,0.35251972,0.34007758,0.330603,0.34413838,20.986663976725605,0.0,0.0
953,142950,0.3608417,0.0701416,0.21796432,0.20681722,150,0.0,3537,530550,0.31980062,0.6160704,0.46701965,0.48087204,0.6806423,0.68621194,0.68498397,0.6876893,0.31050152,0.33191296,0.32954302,0.34403428,22.576509658320983,0.0,0.0
961,144150,0.34400532,0.22377665,0.2294663,0.20767494,150,0.0,3571,535650,0.34858242,0.46522474,0.45587263,0.48003167,0.69258773,0.68900144,0.6853388,0.68770665,0.345318,0.33157283,0.32996196,0.34394217,22.6855951755264,0.0,0.0
969,145350,0.07047176,0.24952404,0.23538919,0.20789647,150,0.0,3605,540750,0.6307911,0.43899617,0.45035663,0.47981352,0.7012629,0.6885202,0.68574584,0.68771,0.3492917,0.3345534,0.3306609,0.34387413,22.545006655508814,0.0,0.0
977,146550,0.056180716,0.2979458,0.24540685,0.20863195,150,0.0,3641,546150,0.6206985,0.38773984,0.4405891,0.47906396,0.6768792,0.6856857,0.68599594,0.68769586,0.32404512,0.32133693,0.3297973,0.3436591,20.715988284510562,0.0,0.0
985,147750,0.07596731,0.21113399,0.23287253,0.20841683,150,0.0,3674,551100,0.6196271,0.47285056,0.45262244,0.47925848,0.69559443,0.6839845,0.685495,0.6876753,0.34696448,0.32935303,0.3297851,0.34355798,22.045671845277862,0.0,0.0
993,148950,0.25135547,0.1633685,0.23031752,0.20801075,150,0.0,3708,556200,0.4250626,0.5288264,0.45548496,0.4797075,0.67641807,0.6921949,0.68580264,0.6877183,0.32757154,0.3378793,0.3294596,0.3435088,22.46425715843209,0.0,0.0
1001,150150,-0.015134513,0.17120865,0.22338542,0.2082804,150,0.0,3742,561300,0.70404416,0.519107,0.46311054,0.4794173,0.68890965,0.6903156,0.68649596,0.6876977,0.33968288,0.33659828,0.33102554,0.34238666,22.633665473559745,0.0,0.0
1009,151350,0.067955315,0.06361725,0.20310006,0.20826758,150,0.0,3770,565500,0.6124912,0.6223773,0.48379958,0.4794317,0.6804465,0.6859945,0.68689966,0.68769926,0.33669624,0.3266797,0.33117053,0.3408459,22.573166687434675,0.0,0.0
1017,152550,-0.024410248,0.066314794,0.18189867,0.20769475,150,0.0,3805,570750,0.7133015,0.622043,0.5053262,0.48001513,0.68889123,0.6883577,0.68722475,0.6877099,0.30992514,0.33301586,0.33216137,0.34012353,22.63185879348021,0.0,0.0
1025,153750,-0.036333382,0.072970584,0.16535082,0.20704691,150,0.0,3839,575850,0.7262926,0.6161975,0.5219906,0.480645,0.6899592,0.6891681,0.6873414,0.68769187,0.33399618,0.33461255,0.33185846,0.3395559,22.804338925990223,0.0,0.0
1033,154950,-0.02768004,0.061311215,0.15113595,0.20661664,150,0.0,3872,580800,0.71378326,0.6334084,0.5373017,0.48118266,0.6861032,0.69471955,0.6884377,0.68779933,0.31123886,0.33626923,0.33273286,0.33896387,19.315081172875562,0.0,0.0
1041,156150,0.3602039,0.0048847883,0.13437146,0.20590404,150,0.0,3906,585900,0.32325354,0.6807934,0.5536982,0.48183575,0.68345743,0.6856782,0.6880697,0.68773973,0.32325354,0.3222744,0.33124828,0.33785036,22.526861630859514,0.0,0.0
1049,157350,0.14323044,0.13163981,0.13133116,0.20666492,150,0.0,3940,591000,0.54840976,0.55150354,0.5564177,0.48104486,0.6916402,0.68314326,0.68774885,0.6877097,0.33913556,0.327861,0.3299922,0.33733118,20.956429973323875,0.0,0.0
1057,158550,0.32071295,0.12190249,0.13315475,0.20641865,150,0.0,3973,595950,0.36920854,0.56726056,0.5551079,0.48135853,0.6899215,0.68916297,0.6882627,0.6877772,0.3281967,0.33741757,0.33109024,0.33724934,22.42374607737631,0.0,0.0
1065,159750,0.36171466,0.11997604,0.12145952,0.20724975,150,0.0,4007,601050,0.33712476,0.5743909,0.5671021,0.48061487,0.6988394,0.6943669,0.6885615,0.6878646,0.33712476,0.34890145,0.33229825,0.33655074,22.69106395379452,0.0,0.0
1073,160950,-0.09883064,0.069542006,0.10643658,0.20677963,150,0.0,4042,606300,0.78607845,0.62160087,0.58227104,0.48103917,0.6872478,0.6911429,0.6887076,0.68781877,0.3240109,0.34251213,0.33312497,0.335883,20.623148955771025,0.0,0.0
1081,162150,-0.21513343,-0.016039211,0.08481468,0.20555176,150,0.0,4076,611400,0.8934851,0.6972321,0.6036494,0.48221675,0.6783517,0.681193,0.6884641,0.6877686,0.32377106,0.32259807,0.33297074,0.33519214,22.501893262417866,0.0,0.0
1089,163350,-0.19323659,0.021670291,0.07296275,0.20330778,150,0.0,4112,616800,0.88565916,0.66306674,0.61504483,0.48445728,0.69242257,0.6847371,0.68800753,0.68776506,0.34234446,0.33075416,0.33218673,0.33529738,20.836197233447653,0.0,0.0
1097,164550,-0.15810674,-0.04036137,0.05778892,0.20033747,150,0.0,4146,621900,0.85737306,0.72975206,0.6304024,0.48744795,0.6992663,0.6893906,0.68819124,0.6877854,0.3540881,0.35216367,0.33419597,0.33549097,22.596365111399262,0.0,0.0
1105,165750,-0.21021271,-0.09150662,0.04158841,0.19822645,150,0.0,4178,626700,0.8990454,0.7806079,0.6466501,0.4895473,0.6888327,0.68910134,0.68823844,0.6877738,0.36341992,0.35424086,0.33541867,0.3353157,22.889659753551786,0.0,0.0
1113,166950,0.14313388,0.14020583,0.049660638,0.19847628,150,0.0,4216,632400,0.546959,0.5530243,0.6392902,0.48939368,0.69009286,0.6932302,0.6889508,0.68786997,0.43553185,0.35484245,0.3375949,0.33544365,20.7819621810897,0.0,0.0
1121,168150,0.27311683,0.071773924,0.05149497,0.19695252,150,0.0,4251,637650,0.4160233,0.6133582,0.6367485,0.49087697,0.68914014,0.68513215,0.6882435,0.6878295,0.32918727,0.34949404,0.33766282,0.3356167,22.792729765745324,0.0,0.0
1129,169350,-0.15044606,0.014930969,0.04521286,0.19504806,150,0.0,4280,642000,0.8385757,0.67096263,0.6429361,0.4927472,0.68812966,0.6858936,0.68814903,0.6877953,0.43849194,0.34406048,0.33898792,0.33585033,22.62176655964265,0.0,0.0
1137,170550,-0.1351068,-0.20284204,0.025713174,0.19153385,150,0.0,4315,647250,0.83811086,0.8930317,0.6620227,0.49634513,0.70300406,0.69018966,0.6877359,0.68787897,0.51482826,0.4001197,0.34495658,0.33658862,20.79016049990582,0.0,0.0
1145,171750,-0.12834108,-0.33096766,-0.00072861195,0.1879874,150,0.0,4351,652650,0.8149021,1.0206492,0.689067,0.49990666,0.68656105,0.68968165,0.68833846,0.68789405,0.31416023,0.41841736,0.35305405,0.33743936,22.724812783111737,0.0,0.0
1153,172950,-0.1429385,-0.055887103,-0.015387061,0.1866614,150,0.0,4385,657750,0.82815534,0.7413869,0.7037143,0.5011924,0.68521684,0.6854998,0.68832725,0.6878538,0.30368024,0.39076227,0.35773027,0.33801702,22.566783206035076,0.0,0.0
1161,174150,0.358373,0.15698126,-0.01402929,0.186415,150,0.0,4417,662550,0.32883352,0.5261163,0.70180476,0.50141346,0.6872065,0.6830976,0.6877755,0.6878285,0.32883352,0.33588275,0.35660726,0.33806893,20.213436620545504,0.0,0.0
1169,175350,0.3567083,0.058961958,-0.019331897,0.1844779,150,0.0,4451,667650,0.33867043,0.6333722,0.70715106,0.50344926,0.6953787,0.69233406,0.6878191,0.6879271,0.33392057,0.33235636,0.355345,0.33822662,20.69858909415741,0.0,0.0
1177,176550,0.3086453,0.09764924,-0.005507631,0.18398312,150,0.0,4479,671850,0.38319898,0.5950558,0.6941265,0.5039451,0.6918443,0.69270504,0.6886189,0.6879282,0.38319898,0.34401047,0.35677117,0.33830762,22.671403713300286,0.0,0.0
1185,177750,0.2920565,-0.120930634,-0.013997278,0.1802731,150,0.0,4506,675900,0.39867055,0.8112852,0.7029362,0.50762296,0.69072706,0.69035465,0.688939,0.68789613,0.39867055,0.3533533,0.359114,0.33853272,22.893370366161488,0.0,0.0
1193,178950,-0.043346465,0.12737975,0.00024261892,0.17935804,150,0.0,4534,680100,0.7269391,0.5574511,0.6884851,0.5084669,0.6835926,0.68483084,0.6887278,0.68782496,0.31963944,0.3744519,0.36238062,0.3389333,20.842017429964997,0.0,0.0
1201,180150,0.07807642,0.025990183,0.0019252736,0.17730442,150,0.0,4558,683700,0.6119419,0.65756565,0.6862179,0.5105113,0.6900183,0.68355584,0.6881431,0.6878157,0.4545921,0.35776582,0.3619555,0.33913887,22.435389531045907,0.0,0.0
1208,181200,-1.004767,-0.013590467,0.006619521,0.17639466,150,0.0,4585,687750,1.6867388,0.7003004,0.6812782,0.5114459,0.68197185,0.68670994,0.68789786,0.6878406,0.4096055,0.40649933,0.36627698,0.3396864,20.731902741306257,0.0,0.0
1216,182400,0.08911985,0.024713997,0.0013595917,0.17453933,150,0.0,4607,691050,0.60206157,0.66202885,0.6864322,0.51327366,0.6911814,0.68674284,0.68779176,0.687813,0.35162047,0.39158675,0.36848533,0.34011707,20.813248427433372,0.0,0.0
1224,183600,0.09443259,0.054712802,-0.0128062125,0.17274942,150,0.0,4631,694650,0.5949181,0.63418716,0.7011921,0.51506215,0.68935066,0.68889993,0.6883859,0.6878115,0.39457166,0.39901918,0.3744074,0.34055358,21.09219265260408,0.0,0.0
1232,184800,-1.5161185,0.03513476,0.0053535295,0.1711482,150,0.0,4659,698850,2.1982567,0.6538569,0.6831765,0.5165833,0.6821382,0.68899167,0.6885302,0.6877315,0.3117953,0.3991339,0.37619743,0.34100673,22.558350307043472,0.0,0.0
1240,186000,0.22865865,-0.11765921,0.019570373,0.16817914,150,0.0,4684,702600,0.4659098,0.79812247,0.6680557,0.51946783,0.69456846,0.6804632,0.68762606,0.687647,0.4381281,0.39626354,0.37510368,0.34151283,22.681120822560942,0.0,0.0
1248,187200,0.1631484,0.07689746,0.039027125,0.16723904,150,0.0,4711,706650,0.5190603,0.6068365,0.6486601,0.52038836,0.6822087,0.683734,0.6876872,0.6876274,0.30840364,0.383953,0.37420884,0.34188262,22.54395726167567,0.0,0.0
