actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
254,38100,0.18701595,0.13664468,0.05429065,0.098549776,150,0.0,0.47275418,0.54725087,0.6272734,0.5831146,0.65977013,0.68389547,0.68156403,0.6816644,0.28957573,0.33961123,0.3362988,0.36535692,16.457777990072056,0.0,0.0
258,38700,0.22071156,0.15825103,0.062201664,0.10012103,150,0.0,0.47155288,0.51739246,0.61911094,0.5813859,0.69226444,0.67564344,0.68131256,0.68150693,0.36048466,0.32454324,0.33658218,0.3645878,10.755823858189467,0.0,0.0
266,39900,0.07771617,0.16952315,0.078633256,0.10192108,150,0.0,0.58743185,0.5121545,0.60291904,0.5796207,0.665148,0.6816777,0.68155235,0.68154186,0.304865,0.33690396,0.33708134,0.36381987,14.771917555993273,0.0,0.0
274,41100,0.07733697,0.13162863,0.09362708,0.10284393,150,0.0,0.6028298,0.5525602,0.5884723,0.57876486,0.6801668,0.6841887,0.6820994,0.68160886,0.33692247,0.34196514,0.33499324,0.36320212,16.66792199087726,0.0,0.0
278,41700,0.14996439,0.13850541,0.09904201,0.103049986,150,0.0,0.5071636,0.5479151,0.5828199,0.5786005,0.657128,0.6864205,0.68186194,0.68165046,0.28921545,0.34800687,0.33368477,0.36294392,14.987554513546174,0.0,0.0
286,42900,0.2390976,0.14420885,0.11310512,0.10412082,150,0.0,0.47006565,0.53109926,0.5683395,0.57723355,0.70916325,0.6753081,0.68144447,0.68135434,0.38847953,0.32613635,0.33366016,0.36167982,16.558069726396873,0.0,0.0
290,43500,0.24030286,0.16303647,0.121328704,0.10533222,150,0.0,0.46870428,0.51763564,0.55979854,0.576158,0.70900714,0.6806721,0.6811272,0.68149024,0.3884445,0.33623758,0.3333265,0.36160952,14.025273668631304,0.0,0.0
298,44700,0.13574493,0.12353353,0.1305632,0.105400085,150,0.0,0.5646214,0.56534314,0.55124426,0.5762418,0.7003663,0.68887675,0.6818074,0.68164194,0.37606326,0.35302645,0.33558583,0.36128917,17.18209300685699,0.0,0.0
302,45300,0.06758112,0.115094505,0.13553165,0.105734035,150,0.0,0.5981409,0.5739113,0.5471072,0.5761383,0.665722,0.6890058,0.6826389,0.68187237,0.3067478,0.3523143,0.33757633,0.36140633,14.686554771836596,0.0,0.0
310,46500,0.18145838,0.11858116,0.1405741,0.10616808,150,0.0,0.49659142,0.56526124,0.5420654,0.5756731,0.6780498,0.68384236,0.6826395,0.68184125,0.3326595,0.34146604,0.33802643,0.36076462,15.265848179513945,0.0,0.0
